ID No.,Treatment,NP_treatment,Inf_treatment,Rep.,Death_date,Age_death,Age_post_inf,Total_juv,No_clutch,Av_clutch,Inf_mets,Mets_count,Mean_count,Spore_yield,Retrieved,Juv_3_clutch,Age_at_Mat,Mat_Days,Av_no.Juv,Av_No.Spores,H_errors
1,A_ZERO_METS,ZERO,METS,1,14.02.21,17,14,5,3,1.67,0,0,0,0,1,5,13,5,1,0,0
2,A_ZERO_METS,ZERO,METS,2,12.02.21,15,12,1,1,1,1,36,9,27000,1,1,15,1,1,2250,0
3,A_ZERO_METS,ZERO,METS,3,26.02.21,29,26,12,5,2.4,0,0,0,0,1,6,13,17,0.71,0,0
4,A_ZERO_METS,ZERO,METS,4,26.02.21,29,26,15,6,2.5,0,0,0,0,1,9,13,17,0.88,0,0
5,A_ZERO_METS,ZERO,METS,5,26.02.21,29,26,10,5,2,0,0,0,0,1,6,15,15,0.67,0,0
6,A_ZERO_METS,ZERO,METS,6,13.02.21,16,13,3,2,1.5,1,20,5,15000,1,3,13,4,0.75,1153.85,0
7,A_ZERO_METS,ZERO,METS,7,26.02.21,29,26,8,5,1.6,0,0,0,0,1,5,13,17,0.47,0,0
8,A_ZERO_METS,ZERO,METS,8,13.02.21,16,13,3,2,1.5,1,9,2.25,6750,1,3,13,4,0.75,519.23,0
9,A_ZERO_METS,ZERO,METS,9,12.02.21,15,12,1,1,1,1,23,5.75,17250,1,1,13,3,0.33,1437.5,0
10,A_ZERO_METS,ZERO,METS,10,26.02.21,29,26,16,6,2.67,0,0,0,0,1,8,15,15,1.07,0,0
11,A_ZERO_METS,ZERO,METS,11,14.02.21,17,14,7,2,3.5,1,22,5.5,16500,1,7,12,6,1.17,1178.57,0
12,A_ZERO_METS,ZERO,METS,12,26.02.21,29,26,16,7,2.29,0,0,0,0,1,6,12,18,0.89,0,0
13,A_ZERO_METS,ZERO,METS,13,26.02.21,29,26,14,6,2.33,0,0,0,0,1,7,13,17,0.82,0,0
14,A_ZERO_METS,ZERO,METS,14,13.02.21,16,13,2,1,2,1,26,6.5,19500,1,2,15,2,1,1500,0
15,A_ZERO_METS,ZERO,METS,15,18.02.21,21,18,2,1,2,0,0,0,0,1,2,16,6,0.33,0,0
16,A_ZERO_METS,ZERO,METS,16,26.02.21,29,26,18,7,2.57,0,0,0,0,1,5,13,17,1.06,0,0
17,A_ZERO_METS,ZERO,METS,17,13.02.21,16,13,0,0,0,1,12,3,9000,1,0,0,17,0,692.31,0
18,A_ZERO_METS,ZERO,METS,18,14.02.21,17,14,0,0,0,1,26,6.5,19500,1,0,0,18,0,1392.86,0
19,A_ZERO_METS,ZERO,METS,19,26.02.21,29,26,10,5,2,0,0,0,0,1,7,17,13,0.77,0,0
20,A_ZERO_METS,ZERO,METS,20,26.02.21,29,26,19,7,2.71,0,0,0,0,1,10,14,16,1.19,0,0
41,A_ZERO_METS,ZERO,METS,21,13.02.21,16,13,2,2,1,1,26,6.5,19500,1,2,13,4,0.5,1500,0
42,A_ZERO_METS,ZERO,METS,22,12.02.21,15,12,2,1,2,1,14,3.5,10500,1,2,13,3,0.67,875,0
43,A_ZERO_METS,ZERO,METS,23,14.02.21,17,14,6,2,3,1,40,10,30000,1,6,13,5,1.2,2142.86,0
44,A_ZERO_METS,ZERO,METS,24,26.02.21,29,26,18,6,3,0,0,0,0,1,9,12,18,1,0,0
45,A_ZERO_METS,ZERO,METS,25,15.02.21,18,15,3,1,3,0,0,0,0,1,3,16,3,1,0,0
21,A_ZERO____,ZERO,NO_METS,1,26.02.21,29,26,10,4,2.5,0,0,0,0,0,8,14,16,0.63,0,0
22,A_ZERO____,ZERO,NO_METS,2,26.02.21,29,26,10,5,2,0,0,0,0,0,8,14,16,0.63,0,0
